Model,Scheme,Cumulative Return (%),Maximum Drawdown (%),Sharpe Ratio,Number of Transactions,Hit Rate (%)
CEEMDAN-ARIMA,Scheme 1,332.30,-4.34,8.0045,37.5000,65.48
CEEMDAN-ARIMA,Scheme 1',284.56,-1.98,7.5317,32.0000,40.35
CEEMDAN-ARIMA,Scheme 2,304.19,-4.44,7.6570,37.5000,65.48
CEEMDAN-ARIMA,Scheme 2',269.81,-2.18,7.3112,32.0000,40.35
CEEMDAN-LSTM,Scheme 1,161.66,-11.54,5.0441,15.5000,50.50
CEEMDAN-LSTM,Scheme 1',28.81,-1.10,2.3397,9.5000,7.84
CEEMDAN-LSTM,Scheme 2,153.80,-11.64,4.8664,15.5000,50.50
CEEMDAN-LSTM,Scheme 2',27.35,-1.20,2.2594,9.5000,7.84
Fixed VMD-LASSO-ARIMA/LSTM,Scheme 1,237.79,-7.49,6.4150,15.0000,58.21
Fixed VMD-LASSO-ARIMA/LSTM,Scheme 1',198.19,-6.71,6.3402,25.0000,38.28
Fixed VMD-LASSO-ARIMA/LSTM,Scheme 2,228.26,-7.69,6.2383,15.0000,58.21
Fixed VMD-LASSO-ARIMA/LSTM,Scheme 2',190.10,-6.90,6.1848,25.0000,38.28
Proposed Adaptive Decomposition-Routing Ensemble,Scheme 1,244.98,-8.30,6.1825,27.5000,53.25
Proposed Adaptive Decomposition-Routing Ensemble,Scheme 1',202.41,-2.01,5.9477,37.5000,31.02
Proposed Adaptive Decomposition-Routing Ensemble,Scheme 2,227.02,-9.01,5.9350,27.5000,53.25
Proposed Adaptive Decomposition-Routing Ensemble,Scheme 2',189.53,-2.52,5.7235,37.5000,31.02
VMD-ARIMA,Scheme 1,336.83,-3.17,8.0988,23.0000,60.60
VMD-ARIMA,Scheme 1',240.37,-3.24,6.8754,29.0000,36.85
VMD-ARIMA,Scheme 2,318.67,-3.37,7.8595,23.0000,60.60
VMD-ARIMA,Scheme 2',229.06,-3.59,6.6900,29.0000,36.85
VMD-LSTM,Scheme 1,63.52,-22.77,1.4557,20.5000,39.13
VMD-LSTM,Scheme 1',5.34,0.00,1.3577,4.0000,1.96
VMD-LSTM,Scheme 2,56.46,-23.33,1.2945,20.5000,39.13
VMD-LSTM,Scheme 2',4.90,-0.05,1.2862,4.0000,1.96
