Target,Method,Mode,Frequency,Average Period,Variance Ratio,Correlation,Approximate Entropy
lithium_hydroxide,VMD,1,0.0056022408963585435,178.5,0.3273311260167416,0.821157667841365,0.005308439121504582
lithium_hydroxide,VMD,2,0.0056022408963585435,178.5,0.3651196949810894,0.8439479859243603,0.02200317394043161
lithium_hydroxide,VMD,3,0.012605042016806723,79.33333333333333,0.008851350823236081,0.16571408557959225,0.20672653894065673
lithium_hydroxide,VMD,4,0.049019607843137254,20.4,0.0008185529262769898,0.05560368703450845,0.4323191769205632
lithium_hydroxide,VMD,5,0.13585434173669467,7.360824742268041,0.00016714759227494518,0.023361915908918132,0.38453097928257973
lithium_hydroxide,VMD,6,0.2535014005602241,3.9447513812154695,8.160794795448002e-05,0.014849649423846086,0.23722524303231518
lithium_hydroxide,VMD,7,0.3403361344537815,2.9382716049382718,4.2783463084956666e-05,0.011765152566625563,0.3480624239746728
lithium_hydroxide,VMD,8,0.39775910364145656,2.5140845070422535,6.269891815494491e-05,0.011651596457156644,0.4196920473696175
lithium_hydroxide,VMD,9,0.44677871148459386,2.238244514106583,3.8501886944286695e-05,0.010396211093410816,0.544202007081124
lithium_hydroxide,CEEMDAN,1,0.33753501400560226,2.962655601659751,0.0005529733320349745,-0.00454802915984161,0.7874853314377117
lithium_hydroxide,CEEMDAN,2,0.23809523809523808,4.2,0.0008091865955759418,-0.02900000374748845,0.5323776851957978
lithium_hydroxide,CEEMDAN,3,0.08123249299719888,12.310344827586206,0.001544956215277753,0.06825745545937682,0.3999144123298022
lithium_hydroxide,CEEMDAN,4,0.03221288515406162,31.043478260869566,0.0067756227222591624,0.1861099526110571,0.23529188308088322
lithium_hydroxide,CEEMDAN,5,0.00980392156862745,102.0,0.05418645133273054,0.4401255679239314,0.0715769580707124
lithium_hydroxide,CEEMDAN,6,0.004201680672268907,238.0,0.061722532322880795,0.6934122069223435,0.03417499416051939
lithium_hydroxide,CEEMDAN,7,0.0,,0.6058866611686535,0.9098372118017058,0.00705811604261708
lithium_carbonate,VMD,1,0.007246376811594203,138.0,0.27862233623263377,0.8026138696136154,0.007063995109188648
lithium_carbonate,VMD,2,0.005797101449275362,172.5,0.3835591560274829,0.8601981458321232,0.026483396472106513
lithium_carbonate,VMD,3,0.010144927536231883,98.57142857142857,0.021336053419217484,0.21809898870028882,0.20595700567008768
lithium_carbonate,VMD,4,0.030434782608695653,32.857142857142854,0.004021522989069512,0.09768353971527126,0.3075542485071425
lithium_carbonate,VMD,5,0.057971014492753624,17.25,0.001763602700169765,0.06190795412329058,0.299746938025383
lithium_carbonate,VMD,6,0.30579710144927535,3.2701421800947865,1.2033367585487747e-05,0.008636311057301633,0.23832976015151042
lithium_carbonate,VMD,7,0.3521739130434783,2.8395061728395063,5.944942079296882e-06,0.007448892421364189,0.32419336178476765
lithium_carbonate,VMD,8,0.4028985507246377,2.4820143884892087,3.942195550209098e-06,0.0068442089833506406,0.5061829495970538
lithium_carbonate,CEEMDAN,1,0.32753623188405795,3.0530973451327434,0.00018397928500620445,-0.01786338440018189,0.8096183425159618
lithium_carbonate,CEEMDAN,2,0.2579710144927536,3.8764044943820224,0.0010941328800670716,0.030759429579635476,0.24410587386155158
lithium_carbonate,CEEMDAN,3,0.07101449275362319,14.081632653061224,0.0028855627032950354,0.2553393411478572,0.35496347475685885
lithium_carbonate,CEEMDAN,4,0.021739130434782608,46.0,0.01882054807962122,0.39885906633348084,0.2405894906401458
lithium_carbonate,CEEMDAN,5,0.005797101449275362,172.5,0.15552455761800532,0.75321360128495,0.06638088681233079
lithium_carbonate,CEEMDAN,6,0.002898550724637681,345.0,0.006491259671750461,0.6613386642956732,0.02812990943849547
lithium_carbonate,CEEMDAN,7,0.0014492753623188406,690.0,0.408025935261373,0.9087246014782413,0.009488832944983594
