Target,Candidate,Method,Configured Modes,VMD Alpha,Returned Components,Development RMSE,Development MAE,Development Score
lithium_hydroxide,VMD-K7-A1500,VMD,7,1500.0,8,0.06474088890429826,0.044337886410090954,0.15499670897232198
lithium_hydroxide,VMD-K7-A3000,VMD,7,3000.0,8,0.9035260940230743,0.14609463898458805,1.9215816071374145
lithium_hydroxide,VMD-K7-A4500,VMD,7,4500.0,8,1.0034940852771463,0.17372011390333933,2.1400464315745613
lithium_hydroxide,VMD-K8-A1500,VMD,8,1500.0,9,0.053823835871387296,0.036687295296911254,0.1287711639891556
lithium_hydroxide,VMD-K8-A3000,VMD,8,3000.0,9,0.9046863716087661,0.1473672387242168,1.924603701574095
lithium_hydroxide,VMD-K8-A4500,VMD,8,4500.0,9,0.5945136580496373,0.20338212605112693,1.3191965038955749
lithium_hydroxide,VMD-K9-A1500,VMD,9,1500.0,10,0.0516211819608814,0.03654973447384235,0.12419836046365124
lithium_hydroxide,VMD-K9-A3000,VMD,9,3000.0,10,0.7377192890576136,0.11385595987442275,1.5661763547830863
lithium_hydroxide,VMD-K9-A4500,VMD,9,4500.0,10,0.7665294489957886,0.24435808223667574,1.6917587428093175
lithium_hydroxide,VMD-K10-A1500,VMD,10,1500.0,11,0.064026843330454,0.035777996775620366,0.14916273216465975
lithium_hydroxide,VMD-K10-A3000,VMD,10,3000.0,11,0.8656300250622795,0.13864369542419003,1.8403095384868864
lithium_hydroxide,VMD-K10-A4500,VMD,10,4500.0,11,0.675116069971665,0.21930294122179944,1.4920941595667154
lithium_hydroxide,CEEMDAN-M7,CEEMDAN,7,,7,0.4554939818239855,0.4168035410228791,1.144087701610752
lithium_hydroxide,CEEMDAN-M9,CEEMDAN,9,,7,0.45598811065939476,0.41761376094005354,1.1455118121952774
lithium_carbonate,VMD-K7-A1500,VMD,7,1500.0,8,856.966990516942,540.9441060270539,0.1782576824994993
lithium_carbonate,VMD-K7-A3000,VMD,7,3000.0,8,5076.833429623517,812.2271680072572,0.9485770337424937
lithium_carbonate,VMD-K7-A4500,VMD,7,4500.0,8,8439.87641461273,1359.7818415771912,1.5773694227335426
lithium_carbonate,VMD-K8-A1500,VMD,8,1500.0,9,665.4838188265442,517.5632087337265,0.14280596348511287
lithium_carbonate,VMD-K8-A3000,VMD,8,3000.0,9,5761.915572639547,1173.5395322938714,1.087886055125526
lithium_carbonate,VMD-K8-A4500,VMD,8,4500.0,9,4754.537739019378,741.5577024647216,0.8874997888292236
lithium_carbonate,VMD-K9-A1500,VMD,9,1500.0,10,541.0685530903834,449.65144071511173,0.11740347518321964
lithium_carbonate,VMD-K9-A3000,VMD,9,3000.0,10,4990.112106545449,807.0356102593108,0.9327636361120069
lithium_carbonate,VMD-K9-A4500,VMD,9,4500.0,10,4899.769965597762,747.84399375813,0.9138743357863307
lithium_carbonate,VMD-K10-A1500,VMD,10,1500.0,11,507.47627758787644,403.2224862996866,0.10928299933658026
lithium_carbonate,VMD-K10-A3000,VMD,10,3000.0,11,6198.208677601684,1035.5537739997974,1.1600722319253602
lithium_carbonate,VMD-K10-A4500,VMD,10,4500.0,11,4799.416230238552,790.8212825334178,0.8977752451295437
lithium_carbonate,CEEMDAN-M7,CEEMDAN,7,,7,1871.2829501874699,1067.2363677280086,0.3841263590813422
lithium_carbonate,CEEMDAN-M9,CEEMDAN,9,,7,1843.7739239137995,1035.9263106420146,0.37777785003928505
